"participant_id","scene","position","code"
"p1","scene1",1," BGN"
"p1","scene1",2," ORI"
"p1","scene1",3," PLAN"
"p1","scene1",4," PROC"
"p1","scene1",5," PROC"
"p1","scene1",6," PROC"
"p1","scene1",7," PROC"
"p1","scene1",8," PROC"
"p1","scene1",9," PROC"
"p1","scene1",10," PROC"
"p1","scene1",11," PROC"
"p1","scene1",12," META"
"p1","scene1",13," HYPO"
"p1","scene1",14," DEC"
"p1","scene1",15," HYPO"
"p1","scene1",16," DEC"
"p1","scene1",17," RUL"
"p1","scene1",18," META"
"p1","scene1",19," FIN"
"p1","scene2",1," BGN"
"p1","scene2",2," PLAN"
"p1","scene2",3," PROC"
"p1","scene2",4," PROC"
"p1","scene2",5," PROC"
"p1","scene2",6," PROC"
"p1","scene2",7," PROC"
"p1","scene2",8," PROC"
"p1","scene2",9," EVAL"
"p1","scene2",10," EVAL"
"p1","scene2",11," HYPO"
"p1","scene2",12," PROC"
"p1","scene2",13," HYPO"
"p1","scene2",14," DEC"
"p1","scene2",15," META"
"p1","scene2",16," RUL"
"p1","scene2",17," FIN"
"p1","scene3",1," BGN"
"p1","scene3",2," PROC"
"p1","scene3",3," PROC"
"p1","scene3",4," PROC"
"p1","scene3",5," PROC"
"p1","scene3",6," PROC"
"p1","scene3",7," PROC"
"p1","scene3",8," EVAL"
"p1","scene3",9," HYPO"
"p1","scene3",10," EVAL"
"p1","scene3",11," EVAL"
"p1","scene3",12," DEC"
"p1","scene3",13," META"
"p1","scene3",14," EVAL"
"p1","scene3",15," RUL"
"p1","scene3",16," FIN"
"p1","scene4",1," BGN"
"p1","scene4",2," PROC"
"p1","scene4",3," PROC"
"p1","scene4",4," PROC"
"p1","scene4",5," PROC"
"p1","scene4",6," PROC"
"p1","scene4",7," PROC"
"p1","scene4",8," PROC"
"p1","scene4",9," META"
"p1","scene4",10," EVAL"
"p1","scene4",11," EVAL"
"p1","scene4",12," PROC"
"p1","scene4",13," PROC"
"p1","scene4",14," HYPO"
"p1","scene4",15," RUL"
"p1","scene4",16," DEC"
"p1","scene4",17," FIN"
"p1","scene5",1," BGN"
"p1","scene5",2," PLAN"
"p1","scene5",3," PROC"
"p1","scene5",4," PROC"
"p1","scene5",5," PROC"
"p1","scene5",6," PROC"
"p1","scene5",7," PROC"
"p1","scene5",8," PROC"
"p1","scene5",9," HYPO"
"p1","scene5",10," META"
"p1","scene5",11," PROC"
"p1","scene5",12," PROC"
"p1","scene5",13," PROC"
"p1","scene5",14," HYPO"
"p1","scene5",15," EVAL"
