participant_id,scene,guess,Accuracy
p1: 5c7cf8b58ca9000001b52f6e,scene1,"""There is always blue triangle located on top of a green triangle.""",0
p1: 5c7cf8b58ca9000001b52f6e,scene2,"""In option A, B, and E, there has to be a green triangle that is upright and also one big and one small one.""",0
p1: 5c7cf8b58ca9000001b52f6e,scene3,"""Option A, C, and F all feature blue triangles that are slanted on their sides.""",1
p1: 5c7cf8b58ca9000001b52f6e,scene4,"""Option A , C , and F all have triangles that stack on another triangle.""",1
p1: 5c7cf8b58ca9000001b52f6e,scene5,"""In option A , B, and E, they all have a red triangle that is upright and a slanted one.. They do also have a blue triangle slanted to the right.""",0
p2: 5f4a7a00dc1bde60ab8f7ac5,scene1,"""If there is a red cone in the panel, the star will light up.""",1
p2: 5f4a7a00dc1bde60ab8f7ac5,scene2,"""I cannot figure out the hidden rule at for this one. I don't even have a solid guess.""",0
p2: 5f4a7a00dc1bde60ab8f7ac5,scene3,"""I cannot figure out the hidden rule for this set of panels.""",0
p2: 5f4a7a00dc1bde60ab8f7ac5,scene4,"There is at least one cone wearing a different colored cone as a ""hat"".'",1
p2: 5f4a7a00dc1bde60ab8f7ac5,scene5,"""I cannot identify the rule at all in this set of panels.""",0
p3: 60fd6618f9a377f54dcdf318,scene1,"""The hidden rule it that the purple triangles are on top of the green triangles when the rule is applied""",0
p3: 60fd6618f9a377f54dcdf318,scene2,"""There are 3 little triangles when the rule is applied to the panel""",0
p3: 60fd6618f9a377f54dcdf318,scene3,"""There are 2 purple triangles on their side when the rule is applied.""",1
p3: 60fd6618f9a377f54dcdf318,scene4,"""There is one triangle of equal size on top of another triangle.
\n There are 7 triangles in each box when the rule is applied""",0
p3: 60fd6618f9a377f54dcdf318,scene5,"""All of the small ones are pointing to the right""",0
p4: 62fd14d7b1e0729dc8aadb79,scene1,"1) All of these panels (A, E and F) contain red, blue and green triangles""",1
p4: 62fd14d7b1e0729dc8aadb79,scene2,"1) Inner area of triangles
\n 2) Number of ""large"" triangles (based on height)'",0
p4: 62fd14d7b1e0729dc8aadb79,scene3,"""1) Orientation of triangles (e.g. number of triangles pointing left)
\n 2) Number of sides touching the ground""",0
p4: 62fd14d7b1e0729dc8aadb79,scene4,"""1) Different coloured triangles stacked on top of each other
\n 2) Orientation of triangles (e.g. number of anti/clockwise)""",1
p4: 62fd14d7b1e0729dc8aadb79,scene5,"""1) Number of sides overlaid on each other (i.e. triangles laid side-to-side)""",0
p5: 65c8d70512b2fc050e53d0d1,scene1,"""You must have a red cone for the light to shine like A,E and F.""",1
p5: 65c8d70512b2fc050e53d0d1,scene2,"""You need at least 1 small blue cone and 1 small green cone.""",1
p5: 65c8d70512b2fc050e53d0d1,scene3,"""You need 2 blue cones on it's side.""",1
p5: 65c8d70512b2fc050e53d0d1,scene4,"""You need 2 cones of the same size stacked on top of each other""",1
p5: 65c8d70512b2fc050e53d0d1,scene5,"""You need 2 green cones and 1 red cone of it;s side""",1
p6: 65cb708afe5755feaeec417f,scene1,"""It has to have a red triangle
\nIt has to have a triangle that is upside down""",1
p6: 65cb708afe5755feaeec417f,scene2,"""Have a small and medium sized green triangle.""",0
p6: 65cb708afe5755feaeec417f,scene3,"""It has to have a blue, red , blue triangle sandwhich. 
\n It has to have a green triangle to the farthest right.""",0
p6: 65cb708afe5755feaeec417f,scene4,"""It has to have a triangle on top of another triangle
\n It has to have at least two red triangles
\n It has to have two triangles that are stacked sideways on top of each other""",1
p6: 65cb708afe5755feaeec417f,scene5,"""It has to have two green triangles only.""",1
p7: 6648becccd1bf5a6e253577b,scene1,"""The panels with the red cones have yellow stars.""",1
p7: 6648becccd1bf5a6e253577b,scene2,"""The rules is... there needs to be adequate space between the largest cone and the smallest cone. (I'm not very confident about this).""",0
p7: 6648becccd1bf5a6e253577b,scene3,"""The hidden rule is that the two blue cones must be tilted over (position or angle doesn't matter).""",1
p7: 6648becccd1bf5a6e253577b,scene4,"""I couldn't really figure out the pattern, but I'll guess. Maybe the pattern is that the panel needs at least green two cones (and no more than green two cones) pointed in an upwards direction.""",0
p7: 6648becccd1bf5a6e253577b,scene5,"""The rule is that the panels with the yellow stars need two cones (no more, no less).""",1
p8: 6658b1491e88ec15902d5301,scene1,"""Panel A, E, and F all have blue and red triangles next to each other and the others don't.""",0
p8: 6658b1491e88ec15902d5301,scene2,"""Panel A, B, and E all have green triangles at the front and end of the sequence.""",0
p8: 6658b1491e88ec15902d5301,scene3,"""Panels A, C, and F all have two blue horizontal triangles and the others do not.""",0
p8: 6658b1491e88ec15902d5301,scene4,"""Panels A, C, and F all have triangles where there are two colours; one on top of the other. From Panels A to C to F these all change colours but still remain as a duo and the other panels do not feature this.""",1
p8: 6658b1491e88ec15902d5301,scene5,"""In Panels A, B and E, there is a blue triangle in the fifth position.""",0
p9: 6776bd45548f97b8129afed9,scene1,"""The star lights up when there is a red triangle in the box. A, E and F all have at least one triangle positioned in any way and star that lights up."" }",1
p9: 6776bd45548f97b8129afed9,scene2,"""The panels A, b and E have the stars that light up and each have a small green and small blue triangle. I think this is the hidden rule. The others don't have this""",1
p9: 6776bd45548f97b8129afed9,scene3,"""The hidden rule is that A,C and f starts are lighted up when there are two blue triangles sitting on it side.""",1
p9: 6776bd45548f97b8129afed9,scene4,"""Hidden rule is that A, C and F all have tow triangles on their side when the star has a light in it""",0
p9: 6776bd45548f97b8129afed9,scene5,"""Hidden rule is that A, B and E have stars lit up when when there are most of the triangles sitting on the side""",0
p10: 66796f4a142b2ff0813dd3d0,scene1,"""The hidden rule is that the star lights up when there is a red triangle in the image.""",1
p10: 66796f4a142b2ff0813dd3d0,scene2,"""Two green cones standing up flush to the ground makes the star light up""",0
p10: 66796f4a142b2ff0813dd3d0,scene3,"""Two blue cones on their side means that the star lights up.""",1
p10: 66796f4a142b2ff0813dd3d0,scene4,"""Having a standing up green and standing up red
\n At least two blues
\n Two reds+ 
\n 7 instead of 6 shapes.""",0
p10: 66796f4a142b2ff0813dd3d0,scene5,"""Having exactly two green cones means the star turns on.""",1
p11: 66798dfc733ea9d461780dc6,scene1,"""Must have blue triangle on top of green on either left or right side (not the middle)
\nMust have 3 green triangles""",0
p11: 66798dfc733ea9d461780dc6,scene2,"""Must have 5 triangles""",0
p11: 66798dfc733ea9d461780dc6,scene3,"""Must have 2 blue triangles on their side
\n Must have 5 triangles present
\n Must have all 3 colors present""",1
p11: 66798dfc733ea9d461780dc6,scene4,"""Must use all 3 colors
\n Must have 1 triangle on top of another triangle
\n Must have at least 2 green triangles""",0
p11: 66798dfc733ea9d461780dc6,scene5,"""Must have red and blue triangles at an angle up against each other
\n Must have at least 3 red triangles""",0
p12: 68256ec539a8a1d5d7b8c3c9,scene1,"""Panel A,E,F have at least, one red cone""",1
p12: 68256ec539a8a1d5d7b8c3c9,scene2,"""I'll say...i'm not sure""",0
p12: 68256ec539a8a1d5d7b8c3c9,scene3,"""On Panels A C and F, the blue cones are fallen downwards""",1
p12: 68256ec539a8a1d5d7b8c3c9,scene4,"""Alternating colour in the panels. I.e A has 1 more green than reds and blues. Panel C has 1 more blue than greens and red and Panel F has 1 more red than blues and greens""",0
p12: 68256ec539a8a1d5d7b8c3c9,scene5,"""Panels A, B and E each have 2 green cones""",1
p13: 6100906e671b8294f9ea93d8,scene1,"""- They all ( A, E, F) have atleast one red cone""",1
p13: 6100906e671b8294f9ea93d8,scene2,"""I can't see any similarities between the three.""",0
p13: 6100906e671b8294f9ea93d8,scene3,"""- They all have a blue lying down, they all finish with a green""",1
p13: 6100906e671b8294f9ea93d8,scene4,"""- A, C and F all have a cone with a different coloured cone on top""",1
p13: 6100906e671b8294f9ea93d8,scene5,"""- A, B, E have two green cones
\n - A, B, E also all have one medium red cone upright""",1
p14: 67168065986a302253d0342b,scene1,"""I cannot spot any correlation or rhyme to this. I must be missing something quite clear.""",0
p14: 67168065986a302253d0342b,scene2,"""I cant see the hidden rule at all. I wish I could flag up the instructions again. I'm just not spotting anything.""",0
p14: 67168065986a302253d0342b,scene3,"""Maybe its to do with the amount of coloured cones in the squares. I cant see a rule indicating why the stair in the corner is lit up.""",0
p14: 67168065986a302253d0342b,scene4,"""My guess is the amount of cones corresponded with the lit up star, or the cones overlap, but this falls apart because D dosent have any overlapping cones and has 7 in them, just as F, A and C have 7 cones some overlapping resulting in a lit stair.""",0
p14: 67168065986a302253d0342b,scene5,"""My guess is square A, B and E with the lit square all contain 2 green cones. Square C, D and F all contain two blue cones. This is the rule.""",1
p15: 5ac228c50527ba0001c1f6bb,scene1,"""The rule is when a red cone appears, the puzzle gets a yellow star. I am very confident with this answer and don't feel the need to give another one.""",1
p15: 5ac228c50527ba0001c1f6bb,scene2,"""This test is hard. I think the rule could be when a puzzle has the majority of its cones facing upwards then it gets a yellow star. However, I am not at all confident in this rule.""",0
p15: 5ac228c50527ba0001c1f6bb,scene3,"""Again, this was a hard task and I am not sure. I think the rule is that when a puzzle has two purple cones it gets a star, but I am not too confident in this rule.""",0
p15: 5ac228c50527ba0001c1f6bb,scene4,"""The rule is the puzzle gets a yellow star when it has two cones stacked on top of one another than are different in colour.""",1
p15: 5ac228c50527ba0001c1f6bb,scene5,"""The hidden rule is the puzzle gets a yellow star when it has two green cones.""",1
p16: 5adef850eb60400001539109,scene1,"""Red cone present
\n More than 5 cones""",1
p16: 5adef850eb60400001539109,scene2,"""Two or more green triangles upright""",0
p16: 5adef850eb60400001539109,scene3,"""Two blue triangles laying on their side""",1
p16: 5adef850eb60400001539109,scene4,"""Two different colored upright cones stacked on each other""",1
p16: 5adef850eb60400001539109,scene5,"""Upright red cone with nothing stacked on it""",0
p17: 55d51a6b8ce09000127d4821,scene1,"""The hidden rule is that they have red triangles.""",1
p17: 55d51a6b8ce09000127d4821,scene2,"""The hidden rule could be that more of the triangles are located towards the left hand side overall. I am so unsure!""",0
p17: 55d51a6b8ce09000127d4821,scene3,"""They have two blue triangles tilted to their side, whereas the others do not.""",1
p17: 55d51a6b8ce09000127d4821,scene4,"""They are the only panels with tiles on top of each other that have different colours.""",1
p17: 55d51a6b8ce09000127d4821,scene5,"""I couldn't even come up with a guess here, nothing came to mind""",0
p18: 62aa591a476ebabe28612a92,scene1,"""Must have all 3 colour triangles in the same Panel.""",1
p18: 62aa591a476ebabe28612a92,scene2,"""Have 2 green triangles standing up right.""",0
p18: 62aa591a476ebabe28612a92,scene3,"""Must have 2 blue triangles on their sides.""",1
p18: 62aa591a476ebabe28612a92,scene4,"""Must have a triangle stacked on another, but must differ in colour.""",1
