"participant_id","scene","position","code"
"p1","scene1",1,"1. BGN"
"p1","scene1",2,"2. ORI"
"p1","scene1",3,"3. PLAN"
"p1","scene1",4,"4. PROC"
"p1","scene1",5,"5. PROC"
"p1","scene1",6,"6. PROC"
"p1","scene1",7,"7. PROC"
"p1","scene1",8,"8. PROC"
"p1","scene1",9,"9. PROC"
"p1","scene1",10,"10. PROC"
"p1","scene1",11,"11. PROC"
"p1","scene1",12,"12. META"
"p1","scene1",13,"13. HYPO"
"p1","scene1",14,"14. DEC"
"p1","scene1",15,"15. HYPO"
"p1","scene1",16,"16. DEC"
"p1","scene1",17,"17. RUL"
"p1","scene1",18,"18. META"
"p1","scene1",19,"19. FIN"
"p1","scene2",1,"1. BGN"
"p1","scene2",2,"2. PLAN"
"p1","scene2",3,"3. PROC"
"p1","scene2",4,"4. PROC"
"p1","scene2",5,"5. PROC"
"p1","scene2",6,"6. PROC"
"p1","scene2",7,"7. PROC"
"p1","scene2",8,"8. PROC"
"p1","scene2",9,"9. EVAL"
"p1","scene2",10,"10. EVAL"
"p1","scene2",11,"11. HYPO"
"p1","scene2",12,"12. PROC"
"p1","scene2",13,"13. HYPO"
"p1","scene2",14,"14. DEC"
"p1","scene2",15,"15. META"
"p1","scene2",16,"16. RUL"
"p1","scene2",17,"17. FIN"
"p1","scene3",1,"1. BGN"
"p1","scene3",2,"2. PROC"
"p1","scene3",3,"3. PROC"
"p1","scene3",4,"4. PROC"
"p1","scene3",5,"5. PROC"
"p1","scene3",6,"6. PROC"
"p1","scene3",7,"7. PROC"
"p1","scene3",8,"8. EVAL"
"p1","scene3",9,"9. HYPO"
"p1","scene3",10,"10. EVAL"
"p1","scene3",11,"11. EVAL"
"p1","scene3",12,"12. DEC"
"p1","scene3",13,"13. META"
"p1","scene3",14,"14. EVAL"
"p1","scene3",15,"15. RUL"
"p1","scene3",16,"16. FIN"
"p1","scene4",1,"1. BGN"
"p1","scene4",2,"2. PROC"
"p1","scene4",3,"3. PROC"
"p1","scene4",4,"4. PROC"
"p1","scene4",5,"5. PROC"
"p1","scene4",6,"6. PROC"
"p1","scene4",7,"7. PROC"
"p1","scene4",8,"8. PROC"
"p1","scene4",9,"9. META"
"p1","scene4",10,"10. EVAL"
"p1","scene4",11,"11. EVAL"
"p1","scene4",12,"12. PROC"
"p1","scene4",13,"13. PROC"
"p1","scene4",14,"14. HYPO"
"p1","scene4",15,"15. RUL"
"p1","scene4",16,"16. DEC"
"p1","scene4",17,"17. FIN"
"p1","scene5",1,"1. BGN"
"p1","scene5",2,"2. PLAN"
"p1","scene5",3,"3. PROC"
"p1","scene5",4,"4. PROC"
"p1","scene5",5,"5. PROC"
"p1","scene5",6,"6. PROC"
"p1","scene5",7,"7. PROC"
"p1","scene5",8,"8. PROC"
"p1","scene5",9,"9. HYPO"
"p1","scene5",10,"10. META"
"p1","scene5",11,"11. PROC"
"p1","scene5",12,"12. PROC"
"p1","scene5",13,"13. PROC"
"p1","scene5",14,"14. HYPO"
"p1","scene5",15,"15. EVAL"
"p1","scene5",16,"16. RUL"
"p1","scene5",17,"17. HYPO"
"p1","scene5",18,"18. RUL"
"p1","scene5",19,"19. FIN"
"p2","scene1",1,"1. BGN"
"p2","scene1",2,"2. ORI"
"p2","scene1",3,"3. PROC"
"p2","scene1",4,"4. PLAN"
"p2","scene1",5,"5. PROC"
"p2","scene1",6,"6. PLAN"
"p2","scene1",7,"7. PROC"
"p2","scene1",8,"8. PROC"
"p2","scene1",9,"9. HYPO"
"p2","scene1",10,"10. PLAN"
"p2","scene1",11,"11. PROC"
"p2","scene1",12,"12. PROC"
"p2","scene1",13,"13. HYPO"
"p2","scene1",14,"14. PROC"
"p2","scene1",15,"15. PLAN"
"p2","scene1",16,"16. HYPO"
"p2","scene1",17,"17. PROC"
"p2","scene1",18,"18. PROC"
"p2","scene1",19,"19. PROC"
"p2","scene1",20,"20. PROC"
"p2","scene1",21,"21. EVAL"
"p2","scene1",22,"22. DEC"
"p2","scene1",23,"23. RUL"
"p2","scene1",24,"24. META"
"p2","scene1",25,"25. FIN"
"p2","scene2",1,"1. BGN"
"p2","scene2",2,"2. ORI"
"p2","scene2",3,"3. PROC"
"p2","scene2",4,"4. PLAN"
"p2","scene2",5,"5. PLAN"
"p2","scene2",6,"6. PROC"
"p2","scene2",7,"7. PROC"
"p2","scene2",8,"8. PROC"
"p2","scene2",9,"9. HYPO"
"p2","scene2",10,"10. EVAL"
"p2","scene2",11,"11. DEC"
"p2","scene2",12,"12. EVAL"
"p2","scene2",13,"13. HYPO"
"p2","scene2",14,"14. DEC"
"p2","scene2",15,"15. EVAL"
"p2","scene2",16,"16. RUL"
"p2","scene2",17,"17. META"
"p2","scene2",18,"18. EVAL"
"p2","scene2",19,"19. PROC"
"p2","scene2",20,"20. EVAL"
"p2","scene2",21,"21. META"
"p2","scene2",22,"22. EVAL"
"p2","scene2",23,"23. META"
"p2","scene2",24,"24. HYPO"
"p2","scene2",25,"25. PROC"
"p2","scene2",26,"26. DEC"
"p2","scene2",27,"27. META"
"p2","scene2",28,"28. FIN"
"p2","scene3",1,"1. BGN"
"p2","scene3",2,"2. ORI"
"p2","scene3",3,"3. PROC"
"p2","scene3",4,"4. PROC"
"p2","scene3",5,"5. EVAL"
"p2","scene3",6,"6. EVAL"
"p2","scene3",7,"7. HYPO"
"p2","scene3",8,"8. DEC"
"p2","scene3",9,"9. META"
"p2","scene3",10,"10. HYPO"
"p2","scene3",11,"11. PROC"
"p2","scene3",12,"12. DEC"
"p2","scene3",13,"13. EVAL"
"p2","scene3",14,"14. EVAL"
"p2","scene3",15,"15. EVAL"
"p2","scene3",16,"16. EVAL"
"p2","scene3",17,"17. EVAL"
"p2","scene3",18,"18. EVAL"
"p2","scene3",19,"19. EVAL"
"p2","scene3",20,"20. EVAL"
"p2","scene3",21,"21. EVAL"
"p2","scene3",22,"22. PROC"
"p2","scene3",23,"23. DEC"
"p2","scene3",24,"24. FIN"
"p2","scene4",1,"1. BGN"
"p2","scene4",2,"2. ORI"
"p2","scene4",3,"3. PLAN"
"p2","scene4",4,"4. PLAN"
"p2","scene4",5,"5. PROC"
"p2","scene4",6,"6. EVAL"
"p2","scene4",7,"7. HYPO"
"p2","scene4",8,"8. PROC"
"p2","scene4",9,"9. HYPO"
"p2","scene4",10,"10. DEC"
"p2","scene4",11,"11. HYPO"
"p2","scene4",12,"12. DEC"
"p2","scene4",13,"13. HYPO"
"p2","scene4",14,"14. DEC"
"p2","scene4",15,"15. HYPO"
"p2","scene4",16,"16. DEC"
"p2","scene4",17,"17. META"
"p2","scene4",18,"18. HYPO"
"p2","scene4",19,"19. DEC"
"p2","scene4",20,"20. HYPO"
"p2","scene4",21,"21. DEC"
"p2","scene4",22,"22. RUL"
"p2","scene4",23,"23. META"
"p2","scene4",24,"24. META"
"p2","scene4",25,"25. FIN"
"p2","scene5",1,"1. BGN"
"p2","scene5",2,"2. ORI"
"p2","scene5",3,"3. PROC"
"p2","scene5",4,"4. EVAL"
"p2","scene5",5,"5. PROC"
"p2","scene5",6,"6. HYPO"
"p2","scene5",7,"7. PROC"
"p2","scene5",8,"8. DEC"
"p2","scene5",9,"9. HYPO"
"p2","scene5",10,"10. DEC"
"p2","scene5",11,"11. PLAN"
"p2","scene5",12,"12. PROC"
"p2","scene5",13,"13. HYPO"
"p2","scene5",14,"14. DEC"
"p2","scene5",15,"15. META"
"p2","scene5",16,"16. PROC"
"p2","scene5",17,"17. EVAL"
"p2","scene5",18,"18. HYPO"
"p2","scene5",19,"19. DEC"
"p2","scene5",20,"20. HYPO"
"p2","scene5",21,"21. PROC"
"p2","scene5",22,"22. EVAL"
"p2","scene5",23,"23. META"
"p2","scene5",24,"24. EVAL"
"p2","scene5",25,"25. HYPO"
"p2","scene5",26,"26. DEC"
"p2","scene5",27,"27. HYPO"
"p2","scene5",28,"28. PROC"
"p2","scene5",29,"29. DEC"
"p2","scene5",30,"30. FIN"
"p3","scene1",1,"1. BGN"
"p3","scene1",2,"2. PLAN"
"p3","scene1",3,"3. PROC"
"p3","scene1",4,"4. PROC"
"p3","scene1",5,"5. PROC"
"p3","scene1",6,"6. PROC"
"p3","scene1",7,"7. PROC"
"p3","scene1",8,"8. META"
"p3","scene1",9,"9. PROC"
"p3","scene1",10,"10. ORI"
"p3","scene1",11,"11. HYPO"
"p3","scene1",12,"12. FIN"
