rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,transcript,annotation,timestamp
45810,,,survey-text,1,82281,0.0-1.0-0.0,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7", 12 multiplied by 8 divided by 6 plus 2. 6 x 6 6 x 6 divided by 12 divided by Tiz.,"start_state = (6, 6, 8, 12)
curr_state = start_state
graph = GraphBuilder(curr_state)
# 12 x 8 - participant is multiplying 12 by 8
new_state = graph.explore_operation(
    curr_state,
    operation=""12*8=96"",
    resulting_state=(6, 6, 96),
    comment=""12 x 8 - participant is multiplying 12 by 8"",
)
# 12 x 6 - participant is multiplying 12 by 6
new_state = graph.explore_operation(
    curr_state,
    operation=""12*6=72"",
    resulting_state=(6, 8, 72),
    comment=""12 x 6 - participant is multiplying 12 by 6"",
)
# plus 6 - participant is adding 6 to result
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""72+6=78"",
    resulting_state=(8, 78),
    comment=""plus 6 - participant is adding 6 to result"",
)
# six multiplied by six - participant returned to start state and is now trying 6*6
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""6*6=36"",
    resulting_state=(8, 12, 36),
    comment=""six multiplied by six - participant returned to start state and is now trying 6*6"",
)
# divided by 12 - looks like from result that participant is dividing 12 by 8
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""12/8=1.5"",
    resulting_state=(1.5, 36),
    comment=""# divided by 12 - looks like from result that participant is dividing 12 by 8"",
)
# no further comment, but can see the division operation from result
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""36/1.5=24"",
    resulting_state=(24,),
    comment=""# no further comment, but can see the division operation from result"",
)",2025-01-07T06:45:41.047Z
18451,,,survey-text,2,100739,0.0-1.0-0.1,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7"," Okay, 12 plus 9 is 21. 12 plus... let's see here... 9 plus 7 is 16. So, 6 plus 7, that's 13. So, 72 minus 9 times 6, which is 54. 72 minus 54... 9 times... 7 is 63 and 72... 9 times 6 is 54. 12... 12 times 7 minus 9 times 6. Could that be 72? No, that'd be 84 minus 54, which would be 30. So I can do 12 times 6 is 72, minus 9 times 7 is about 72 minus 6. That's still not right. About 12 minus 6. That's 2. Or 6. Plus 16. That sounds right. Plus 9 plus 7. 6 plus 16, that's 22. So what if it was 12 minus 7, that's 5. 9 plus 6 is 15, that's 20. So that's not right either. So it's 12 plus 9 is 21. That's not right. Minus 3.","start_state = (6, 7, 9, 12)
curr_state = start_state
graph = GraphBuilder(curr_state)
# Okay, 12 plus 9 is 21
new_state = graph.explore_operation(
    curr_state,
    operation=""12+9=21"",
    resulting_state=(6, 7, 21),
    comment=""Okay, 12 plus 9 is 21"",
)
# 9 plus 7 is 16.
new_state = graph.explore_operation(
    curr_state,
    operation=""9+7=16"",
    resulting_state=(6, 12, 16),
    comment=""9 plus 7 is 16."",
)
# So 6 plus 7 is 13.
new_state = graph.explore_operation(
    curr_state,
    operation=""6+7=13"",
    resulting_state=(13, 9, 12),
    comment=""# So 6 plus 7 is 13. "",
)
# 12 times 6 is 54
new_state = graph.explore_operation(
    curr_state,
    operation="""",
    resulting_state=(7, 9, 54),
    comment=""12 times 6 is 54"",
)
# 12 x 7 minus 9 x 6, yeah, that's not correct... which would be 30
new_state = graph.explore_operation(
    curr_state,
    operation=""12*7 - 9*6 = 30"",
    resulting_state=(30,),
    comment=""# 12 x 7 minus 9 x 6, yeah, that's not correct... which would be 30"",
)
# that's not correct - indicates return to start_state
curr_state = graph.move_to_node(start_state)
# if we do 12 times 6 is. Plus 9 plus 7.
new_state = graph.explore_operation(
    curr_state,
    operation=""12*6+9+7= 88"",
    resulting_state=(88,),
    comment="""",
)
# 6 plus 16, that's 22 - indicates return to start
curr_state = graph.move_to_node(start_state)
# 6 plus 16, that's 22 - 16 comes from 9+7
new_state = graph.explore_operation(
    curr_state,
    operation=""9+7+6=22"",
    resulting_state=(22, 12),
    comment=""6 plus 16, that's 22 - 16 comes from 9+7"",
)
# So what if it was 12 minus 7, that's 5.
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""12-7=5"",
    resulting_state=(5, 6, 9),
    comment=""So what if it was 12 minus 7, that's 5."",
)
# 9 plus 6 is 15. That's 20
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""9+6+5=20"",
    resulting_state=(20,),
    comment=""# 9 plus 6 is 15. That's 20"",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""12+9=21"",
    resulting_state=(6, 7, 21),
    comment="""",
)
# That's not right. - moving to start state
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""12-9=3"",
    resulting_state=(3, 6, 7),
    comment="""",
)",2025-01-07T06:45:59.505Z
12620,,,survey-text,3,113365,0.0-1.0-0.2,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7", We go on. 12 minus 5. 12 minus 7 which is 5. Times 7. It is at 5 minus 11. So print bracket 12 minus 7. Close the bracket right by 7. Subtract bracket 11.,"start_state = (7, 7, 11, 12)
curr_state = start_state
graph = GraphBuilder(curr_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""12-7=5"",
    resulting_state=(5, 7, 11),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""5*7=35"",
    resulting_state=(11, 35),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""35-11=24"",
    resulting_state=(24,),
    comment="""",
)",2025-01-07T06:46:12.131Z
15015,,,survey-text,4,128386,0.0-1.0-0.3,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7", 1 plus 11 multiplied by 13 divided by 6 Eleven multiplied by thirteen plus one divided by six. Eleven multiplied by thirteen You will You will play a mathematical game where you start with a set of 4 numbers and have to,"start_state = (1, 6, 11, 13)
curr_state = start_state
graph = GraphBuilder(curr_state)
# one close level - 11?
new_state = graph.explore_operation(
    curr_state,
    operation=""11*13= 143"",
    resulting_state=(1, 6, 143),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""143/6=23.83"",
    resulting_state=(1, 23.83),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""(11*13+1)/6=24"",
    resulting_state=(24,),
    comment="""",
)
# what happened here? ##CHECK RECORDING",2025-01-07T06:46:27.152Z
9929,,,survey-text,5,138320,0.0-1.0-0.4,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7"," 12, 9, 10, 11, 12, 13, 14, 15, 16, 17, plus 12, 9, 29, 12, 9, 18, 18, 19, and 12 times 2. Oh yeah. 9 minus 8 plus 1 times Open parenthesis, 12. All right. 1 times 12. Oh, no, I got to do 12 times 1. Plus 12. 9 minus 8 is 1. 9 minus 8 is 1. Plus 1. Times 2. 12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x m12 x 8, close parenthesis, plus 1, times 12. Okay. Plus 1, open parenthesis, times 12, close parenthesis.","start_state = (1, 8, 9, 12)
curr_state = start_state
graph = GraphBuilder(curr_state)
# potentially trying to compute 8+9 - 9, 10, 11, 12, 13, 14, 15, 16, 17
new_state = graph.explore_operation(
    curr_state,
    operation=""8+9=17"",
    resulting_state=(1, 12, 17),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""17+12=29"",
    resulting_state=(1, 29),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
graph.set_subgoal(
    subgoal_state=(12, 2),
    comment="""",
)
new_state = graph.explore_operation(
    curr_state,
    operation=""9-8=1"",
    resulting_state=(1, 1, 12),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""1+1=2"",
    resulting_state=(2, 12),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""2*12=24"",
    resulting_state=(24,),
    comment="""",
)",2025-01-07T06:46:37.087Z
9641,,,survey-text,6,147967,0.0-1.0-0.5,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7"," 18, 19, 21, 22, 23, 24. 7, closed parenthesis, no, 18, 19, 20, 222, 420, okay, 5, 15, 20, 25, 30, 35, Minus 11, open parenthesis, 5, times 7, close parenthesis, minus, open parenthesis, 11, times 1, close parenthesis, 11, Climb in there.","start_state = (1, 5, 7, 11)
curr_state = start_state
graph = GraphBuilder(curr_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7+11=18"",
    resulting_state=(1, 5, 18),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""5-1=4"",
    resulting_state=(18, 4),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""18+4=22"",
    resulting_state=(22,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
# 5, 10, 15, 20, 25, 30, 35 - computing 5*7
new_state = graph.explore_operation(
    curr_state,
    operation=""5*7=35"",
    resulting_state=(1, 11, 35),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""35-11*1=24"",
    resulting_state=(24,),
    comment="""",
)",2025-01-07T06:46:46.733Z
11935,,,survey-text,7,159907,0.0-1.0-0.6,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7"," Okay, here's the same thing. 8 times 3 is already 24, so I can go. Yeah, these are easier. I'm pretty sure the first ones were unsolvable, or at least difficult. 8 times 3 plus 12 minus 12.","start_state = (3, 8, 12, 12)
curr_state = start_state
graph = GraphBuilder(curr_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""8*3=24"",
    resulting_state=(12, 12, 24),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""24+12-12=24"",
    resulting_state=(24,),
    comment="""",
)",2025-01-07T06:46:58.673Z
11411,,,survey-text,8,171323,0.0-1.0-0.7,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7"," Alright, let's see. So 12 times 2 is 24, right off the bat. So we can go 8 minus 9, oh, wrong way. 9 minus 8, that's going to be 1. Times 12 plus 2, which would be 24. How the fuck did I not write? 1 times 20, oh, right. That's not the right. There we go.","start_state = (2, 8, 9, 12)
curr_state = start_state
graph = GraphBuilder(curr_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""12*2=24"",
    resulting_state=(8, 9, 24),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""8-9=-1"",
    resulting_state=(-1, 24),
    comment="""",
)
new_state = graph.explore_operation(
    curr_state,
    operation=""9-8=1"",
    resulting_state=(1, 24),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""1*24=24"",
    resulting_state=(24,),
    comment="""",
)",2025-01-07T06:47:10.089Z
12285,,,survey-text,9,183614,0.0-1.0-0.8,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7"," Target number 24. So we have 2, 2, 7, 7. And we need a multiple of 24. So it's going to be 2 times 2 is 4. 7 plus 7 is 14. So the highest if we add them all together is going to be 18, which means the multiplication has to be done here. So 7 times 2 is 14. And so I have 14, 7, and 2. If I multiply 7 times 2, that's 14, that's 28, too much. If I do 14 minus 7 plus 2, no. If I do 14 times 2, yes, that would work, but then I'd have an extra 7 left over. How could I solve that? 14 times 2 would be 28. I'd have an extra 7 left over. And that would not work. It would bring me back down to 21. Okay, let's do 7 plus 2, which is 9, which means I have 9, 7, and 2. 9 times 7 is 30. Wait, 9 times 7 is 63. That's too freaking much, girl. I So let's do 2 plus 2, which is 4. So I have 7, 7, 4. What's 4 times 7? 28. 4 times 7 is 28. And I have an extra 7 left over. How can I fix this problem? I'm thinking maybe there's a way to square them, or maybe I'm missing parentheses. No, no. Parentheses can come last. 7 minus 7 is 0, 7 minus 2 is 5, 10 times 2 is 10, plus 7 is 17, 7 times 2 is 14, plus 7 is 21, plus 2 is 23, no, 7 times 2 divided by, wait, 7 times 2, 14 divided by 7, Now is equal to.","start_state = (2, 2, 7, 7)
curr_state = start_state
graph = GraphBuilder(curr_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""2*2=4"",
    resulting_state=(4, 7, 7),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""4+7+7=18"",
    resulting_state=(18,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7*2=14"",
    resulting_state=(2, 7, 14),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7*2+14=28"",
    resulting_state=(28,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7*2-7+2=9"",
    resulting_state=(9,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7*2*2=28"",
    resulting_state=(7, 28),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""28-7=21"",
    resulting_state=(21,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7+2=9"",
    resulting_state=(2, 7, 9),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""9*7=63"",
    resulting_state=(2, 63),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7*2+7+2=23"",
    resulting_state=(23,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""2+2=4"",
    resulting_state=(4, 7, 7),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""4*7=28"",
    resulting_state=(7, 28),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7-7=0"",
    resulting_state=(0, 2, 2),
    comment="""",
)
new_state = graph.explore_operation(
    curr_state,
    operation=""7-2=5"",
    resulting_state=(2, 5, 7),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""5*2=10"",
    resulting_state=(10, 7),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""10+7=17"",
    resulting_state=(17,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7*2+7+2=23"",
    resulting_state=(23,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""7*2=14"",
    resulting_state=(2, 7, 14),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""14/7=2"",
    resulting_state=(2, 2),
    comment="""",
)",2025-01-07T06:47:22.380Z
76787,,,survey-text,10,260408,0.0-1.0-0.9,14,6,2025-01-07 06:44:18,fa36d76c4699a627e33a91273f083d6e,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Macintosh,Chrome,131.0.0.0,OS X,10_15_7,,"en-US,en;q=0.7"," Target number is 24, and we have 5, 5, 8, and 13. 8 plus 13 is 20-something. Let's do it a different way. 13 plus 5 is 3, 5, 6, 7, 8. 13 plus 5 is 18, so we have 18, 5, and 8. 8 minus 5, 5, 6, 7, 8 is 3. 18, 19, 20, 21. Dang it, it's 21, not 24. 18 plus 5 is 23. Hmm, this one might be harder. Okay, 5 plus 13. I mean, 5 plus 18 is 13. Then I'd have 13, 13, and 5. That's 26. Nope. Um, 5 times 5 is 25, 8, 13, um, 25 plus 8 maybe, 25, what is that, 35, I mean, 5, 6, 7, 8, 33 and 13, no, that would make 20. We subtracted those. Okay. 5 times 8, so that's going to give us 40, 13, and 5. 5 divided by 40 is 8, and then 8 plus 13 is 21. I keep getting 21. Okay, let's do it a different way. 5, 5, 8, 13, 13 times 5 is what? Um, 5 first and then 5 times 3 is 15. 5, 1, 5. Um, and then what if I divided that by 5 again? That would give me 13, 13, and 8, girl. Okay, um, let's change it up again. 5 plus 5. Um, 10 plus 18. I mean, plus 8. No, not going to work because that's 24. I mean, let's do 8 minus 5. That gives us 3. So now we have 13, 5, and 3, right? What if I did 3 times 15? No. Times 13? No. No, still doesn't work. Let's do another way. Okay, what about, okay, start again. 5, 5, 8,","start_state = (5, 5, 8, 13)
curr_state = start_state
graph = GraphBuilder(curr_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""8+13=21"",
    resulting_state=(5, 5, 21),
    comment="""",
)
new_state = graph.explore_operation(
    curr_state,
    operation=""13+5=18"",
    resulting_state=(5, 8, 18),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""8-5=3"",
    resulting_state=(3, 18),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""18+3=21"",
    resulting_state=(21,),
    comment="""",
)
curr_state = graph.move_to_node((5, 8, 18))
new_state = graph.explore_operation(
    curr_state,
    operation=""18+5=23"",
    resulting_state=(8, 23),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""5+8=13"",
    resulting_state=(5, 13, 13),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""13+13=25"",
    resulting_state=(5, 25),
    comment=""miscalculation"",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""5*8=40"",
    resulting_state=(5, 13, 40),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""40/5=8"",
    resulting_state=(13, 8),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""13+8=21"",
    resulting_state=(21,),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""5*13/5=13"",
    resulting_state=(13, 8),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""5+5=10"",
    resulting_state=(10, 8, 13),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""10+8=18"",
    resulting_state=(18, 13),
    comment="""",
)
curr_state = graph.move_to_node(start_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""8-5=3"",
    resulting_state=(3, 5, 13),
    comment="""",
)
curr_state = graph.move_to_node(new_state)
new_state = graph.explore_operation(
    curr_state,
    operation=""3*13=39"",
    resulting_state=(5, 39),
    comment="""",
)",2025-01-07T06:48:39.174Z
