,Rank,Puzzles,AMT (s),Solve Rate,Original Rank,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Num Solutions
0,1,1 1 11 11,4.41,0.996,2,11+11+1+1,,,,,,,,,,,1
1,2,6 6 6 6,4.59,0.9940000000000001,5,6+6+6+6,6*6-6-6,,,,,,,,,,2
2,9,1 2 2 6,4.8,0.992,7,(6+2)*(2+1),6*2*2*1,(2+2)*6*1,,,,,,,,,3
3,7,1 1 4 6,4.4,0.992,1,6*4+1-1,,,,,,,,,,,1
4,14,1 1 5 5,5.35,0.991,51,(5+1)*(5-1),(5*5-1)*1,,,,,,,,,,2
5,15,1 2 3 4,5.1,0.99,22,(3+2+1)*4,4*3*2*1,(4+2)*(3+1),,,,,,,,,3
6,19,4 6 11 11,5.0,0.9890000000000001,14,6*4+11-11,11+11+6-4,,,,,,,,,,2
7,23,5 5 12 12,5.42,0.987,62,(12-5-5)*12,5*5-12/12,12+12+5-5,,,,,,,,,3
8,30,2 2 12 12,5.68,0.987,104,12+12+2-2,(12*2-12)*2,,,,,,,,,,2
9,29,3 3 12 12,5.36,0.987,52,12*12/(3+3),12+12+3-3,(12-12/3)*3,,,,,,,,,3
10,26,4 6 13 13,5.24,0.987,36,6*4+13-13,13+13+4-6,,,,,,,,,,2
11,22,1 1 2 13,5.19,0.987,31,13*2-1-1,(1+1)*13-2,(13-1)*2*1,,,,,,,,,3
12,34,12 12 13 13,5.4,0.986,59,13+12+12-13,,,,,,,,,,,1
13,39,1 5 7 11,6.03,0.985,179,11+7+5+1,(5+1)*(11-7),(11+1)*(7-5),(7*5-11)*1,,,,,,,,4
14,44,1 1 2 6,5.09,0.9840000000000001,20,(1+1)*6*2,(2+1+1)*6,,,,,,,,,,2
15,51,1 4 7 12,5.59,0.983,87,12+7+4+1,(7-4-1)*12,(7+1)*12/4,(12+1-7)*4,,,,,,,,4
16,56,1 6 6 11,5.71,0.982,111,11+6+6+1,(11-6-1)*6,6*6-11-1,,,,,,,,,3
17,58,1 6 8 9,6.05,0.982,186,9+8+6+1,(9-6)*8*1,8/(1-6/9),,,,,,,,,3
18,67,2 2 3 12,5.76,0.98,124,(2+2)*3+12,(12-2-2)*3,3*2*2+12,(12-2*2)*3,(3-2/2)*12,(3-2)*12*2,12/(2-3/2),(12/2+2)*3,,,,8
19,63,2 2 11 13,6.04,0.98,182,13+11+2-2,,,,,,,,,,,1
20,78,11 13 13 13,5.85,0.978,136,13+13+11-13,,,,,,,,,,,1
21,74,5 5 7 7,5.65,0.978,100,7+7+5+5,7*7-5*5,5*5-7/7,(7+5)*(7-5),,,,,,,,4
22,102,1 7 8 10,5.99,0.975,173,10+8+7-1,(10-7)*8*1,,,,,,,,,,2
23,101,1 4 6 13,6.51,0.975,285,13+6+4+1,(13-6-1)*4,(13-1)*(6-4),,,,,,,,,3
24,132,6 8 10 12,6.74,0.972,341,8*6/(12-10),12+10+8-6,(10+6)*12/8,12*8/(10-6),(10-8)*6+12,,,,,,,5
25,138,1 2 4 4,5.99,0.971,172,(4+4)*(2+1),(4+2)*4*1,(4-1)*4*2,,,,,,,,,3
26,151,1 2 3 8,6.2,0.97,219,(2-1)*8*3,(8-2)*(3+1),(8+3+1)*2,8/(1-2/3),,,,,,,,4
27,172,9 9 11 13,5.81,0.968,132,13+11+9-9,,,,,,,,,,,1
28,173,1 1 5 6,5.19,0.968,32,(5-1)*6*1,(6-1)*5-1,,,,,,,,,,2
29,178,10 11 11 12,7.31,0.9670000000000001,494,12+11+11-10,,,,,,,,,,,1
30,194,3 8 12 12,6.03,0.965,181,8*3+12-12,12/3+12+8,(12-8)*3+12,,,,,,,,,3
31,189,1 8 9 12,5.56,0.965,80,(12-9)*8*1,(9+1-8)*12,8/(12/9-1),,,,,,,,,3
32,187,1 4 7 13,6.54,0.965,293,(13-7)*4*1,(13+7+4)*1,,,,,,,,,,2
33,201,1 2 2 13,7.09,0.9640000000000001,435,(13+1-2)*2,(13*2-2)*1,,,,,,,,,,2
