trial_type,trial_index,time_elapsed,condition,TYPE,CONDITION,pid,exp_type,timeout,correct,response,button_clicks,alert_counter,choices,target,trial_duration,alert_threshold,voice_check_frequency,type,practice,question_order,stimulus,rt_s
GameOfN,2,116327,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,False,1.0,(2+1+1)x6,"[{""button"":""("",""time:"":43980.799999952316,""value"":""(""},{""button"":""2"",""time:"":45282.299999952316,""value"":""(2""},{""button"":""+"",""time:"":48294.09999990463,""value"":""(2+""},{""button"":""1"",""time:"":49856.200000047684,""value"":""(2+1""},{""button"":""+"",""time:"":50909.299999952316,""value"":""(2+1+""},{""button"":""1"",""time:"":51988,""value"":""(2+1+1""},{""button"":"")"",""time:"":53437.700000047684,""value"":""(2+1+1)""},{""button"":""x"",""time:"":55445.799999952316,""value"":""(2+1+1)x""},{""button"":""6"",""time:"":56525,""value"":""(2+1+1)x6""},{""button"":""submit"",""time:"":63627,""value"":""(2+1+1)x6""}]",,"[6,1,1,2]",24.0,180000.0,,,gameTrial,True,,,63
GameOfN,5,299961,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,True,0.0,1+2+(8x1,"[{""button"":""("",""time:"":90893.20000004768,""value"":""(""},{""button"":""2"",""time:"":91798.70000004768,""value"":""(2""},{""button"":""+"",""time:"":92380.40000009537,""value"":""(2+""},{""button"":""1"",""time:"":93236.10000014305,""value"":""(2+1""},{""button"":""+"",""time:"":94364.29999995232,""value"":""(2+1+""},{""button"":""1"",""time:"":95355.20000004768,""value"":""(2+1+1""},{""button"":"")"",""time:"":96805.40000009537,""value"":""(2+1+1)""},{""button"":""delete"",""time:"":104439.90000009537,""value"":""(2+1+1""},{""button"":""delete"",""time:"":106237.20000004768,""value"":""(2+1+""},{""button"":""delete"",""time:"":106511.20000004768,""value"":""(2+1""},{""button"":""delete"",""time:"":106783.70000004768,""value"":""(2+""},{""button"":""delete"",""time:"":107415.40000009537,""value"":""(2""},{""button"":""delete"",""time:"":107775,""value"":""(""},{""button"":""delete"",""time:"":108754.90000009537,""value"":""""},{""button"":""2"",""time:"":145034.90000009537,""value"":""2""},{""button"":""delete"",""time:"":150849.20000004768,""value"":""""},{""button"":""1"",""time:"":163765.10000014305,""value"":""1""},{""button"":""+"",""time:"":164620.29999995232,""value"":""1+""},{""button"":""2"",""time:"":165475.29999995232,""value"":""1+2""},{""button"":""+"",""time:"":171264.10000014305,""value"":""1+2+""},{""button"":""("",""time:"":173470.40000009537,""value"":""1+2+(""},{""button"":""8"",""time:"":176630.5,""value"":""1+2+(8""},{""button"":""x"",""time:"":177523.5,""value"":""1+2+(8x""},{""button"":""1"",""time:"":178699.90000009537,""value"":""1+2+(8x1""}]",,"[8,2,1,1]",24.0,180000.0,,,gameTrial,True,,,180
GameOfN,8,331823,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,False,1.0,(8x1)x(2+1),"[{""button"":""("",""time:"":6925.299999952316,""value"":""(""},{""button"":""8"",""time:"":7768.700000047684,""value"":""(8""},{""button"":""x"",""time:"":8561.900000095367,""value"":""(8x""},{""button"":""1"",""time:"":9454.400000095367,""value"":""(8x1""},{""button"":"")"",""time:"":10520.700000047684,""value"":""(8x1)""},{""button"":""x"",""time:"":19390.799999952316,""value"":""(8x1)x""},{""button"":""("",""time:"":22725.900000095367,""value"":""(8x1)x(""},{""button"":""2"",""time:"":23790.799999952316,""value"":""(8x1)x(2""},{""button"":""+"",""time:"":24633.5,""value"":""(8x1)x(2+""},{""button"":""1"",""time:"":25364.700000047684,""value"":""(8x1)x(2+1""},{""button"":"")"",""time:"":26194.5,""value"":""(8x1)x(2+1)""},{""button"":""submit"",""time:"":27496.400000095367,""value"":""(8x1)x(2+1)""}]",,"[8,2,1,1]",24.0,180000.0,,,gameTrial,True,,,27
GameOfN,12,519492,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,True,0.0,(,"[{""button"":""12"",""time:"":72469.30000019073,""value"":""12""},{""button"":""+"",""time:"":73312,""value"":""12+""},{""button"":""5"",""time:"":74502.30000019073,""value"":""12+5""},{""button"":""+"",""time:"":82868.10000014305,""value"":""12+5+""},{""button"":""10"",""time:"":83971.10000014305,""value"":""12+5+10""},{""button"":""-"",""time:"":85186.90000009537,""value"":""12+5+10-""},{""button"":""1"",""time:"":86141,""value"":""12+5+10-1""},{""button"":""submit"",""time:"":87404.40000009537,""value"":""12+5+10-1""},{""button"":""delete"",""time:"":96241.20000004768,""value"":""12+5+10-""},{""button"":""delete"",""time:"":97567.5,""value"":""12+5+10""},{""button"":""delete"",""time:"":98174.80000019073,""value"":""12+5+""},{""button"":""delete"",""time:"":100876.80000019073,""value"":""12+5""},{""button"":""delete"",""time:"":101124.40000009537,""value"":""12+""},{""button"":""delete"",""time:"":101322.80000019073,""value"":""12""},{""button"":""delete"",""time:"":101558.80000019073,""value"":""""},{""button"":""delete"",""time:"":101806.20000004768,""value"":""""},{""button"":""10"",""time:"":102984.10000014305,""value"":""10""},{""button"":""+"",""time:"":103677.5,""value"":""10+""},{""button"":""5"",""time:"":104769.20000004768,""value"":""10+5""},{""button"":""delete"",""time:"":119766.70000004768,""value"":""10+""},{""button"":""delete"",""time:"":120014,""value"":""10""},{""button"":""delete"",""time:"":120274,""value"":""""},{""button"":""delete"",""time:"":120509.20000004768,""value"":""""},{""button"":""12"",""time:"":123707.30000019073,""value"":""12""},{""button"":""+"",""time:"":127077.70000004768,""value"":""12+""},{""button"":""delete"",""time:"":133732.30000019073,""value"":""12""},{""button"":""delete"",""time:"":134104.5,""value"":""""},{""button"":""delete"",""time:"":134389.20000004768,""value"":""""},{""button"":""12"",""time:"":136273.40000009537,""value"":""12""},{""button"":""+"",""time:"":137190.90000009537,""value"":""12+""},{""button"":""5"",""time:"":137983.10000014305,""value"":""12+5""},{""button"":""delete"",""time:"":149100.10000014305,""value"":""12+""},{""button"":""delete"",""time:"":149347.70000004768,""value"":""12""},{""button"":""delete"",""time:"":149558.40000009537,""value"":""""},{""button"":""delete"",""time:"":149756.60000014305,""value"":""""},{""button"":""("",""time:"":151021.10000014305,""value"":""(""},{""button"":""12"",""time:"":152149.70000004768,""value"":""(12""},{""button"":""+"",""time:"":153078.60000014305,""value"":""(12+""},{""button"":""5"",""time:"":154045.40000009537,""value"":""(12+5""},{""button"":"")"",""time:"":157441.90000009537,""value"":""(12+5)""},{""button"":""+"",""time:"":160787.5,""value"":""(12+5)+""},{""button"":""10"",""time:"":161879.10000014305,""value"":""(12+5)+10""},{""button"":""-"",""time:"":167072.10000014305,""value"":""(12+5)+10-""},{""button"":""1"",""time:"":168732.70000004768,""value"":""(12+5)+10-1""},{""button"":""-"",""time:"":170145.20000004768,""value"":""(12+5)+10-1-""},{""button"":""delete"",""time:"":172265.90000009537,""value"":""(12+5)+10-1""},{""button"":""delete"",""time:"":172525.5,""value"":""(12+5)+10-""},{""button"":""delete"",""time:"":172785.70000004768,""value"":""(12+5)+10""},{""button"":""delete"",""time:"":173045.80000019073,""value"":""(12+5)+""},{""button"":""delete"",""time:"":173306,""value"":""(12+5)""},{""button"":""delete"",""time:"":173541.80000019073,""value"":""(12+5""},{""button"":""delete"",""time:"":173740.40000009537,""value"":""(12+""},{""button"":""delete"",""time:"":174458.80000019073,""value"":""(12""},{""button"":""delete"",""time:"":175810,""value"":""(""},{""button"":""delete"",""time:"":176591.5,""value"":""""},{""button"":""("",""time:"":178957.80000019073,""value"":""(""}]",,"[1,5,10,12]",24.0,180000.0,,,gameTrial,False,,,180
GameOfN,15,703002,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,True,0.0,,"[{""button"":""("",""time:"":66799.90000009537,""value"":""(""},{""button"":""4"",""time:"":68348.79999995232,""value"":""(4""},{""button"":""x"",""time:"":69155,""value"":""(4x""},{""button"":""4"",""time:"":70183.60000014305,""value"":""(4x4""},{""button"":"")"",""time:"":71435.60000014305,""value"":""(4x4)""},{""button"":""+"",""time:"":73393.10000014305,""value"":""(4x4)+""},{""button"":""delete"",""time:"":84324.5,""value"":""(4x4)""},{""button"":""delete"",""time:"":84795.79999995232,""value"":""(4x4""},{""button"":""delete"",""time:"":85192.40000009537,""value"":""(4x""},{""button"":""5"",""time:"":86642.29999995232,""value"":""(4x5""},{""button"":"")"",""time:"":89418,""value"":""(4x5)""},{""button"":""+"",""time:"":91537,""value"":""(4x5)+""},{""button"":""6"",""time:"":92479.70000004768,""value"":""(4x5)+6""},{""button"":""delete"",""time:"":95515.10000014305,""value"":""(4x5)+""},{""button"":""delete"",""time:"":95898.90000009537,""value"":""(4x5)""},{""button"":""delete"",""time:"":96432.10000014305,""value"":""(4x5""},{""button"":""delete"",""time:"":96692.5,""value"":""(4x""},{""button"":""delete"",""time:"":97126.29999995232,""value"":""(4""},{""button"":""delete"",""time:"":97696.10000014305,""value"":""(""},{""button"":""delete"",""time:"":98352.5,""value"":""""},{""button"":""("",""time:"":100049.90000009537,""value"":""(""},{""button"":""6"",""time:"":100868.90000009537,""value"":""(6""},{""button"":""x"",""time:"":102095,""value"":""(6x""},{""button"":""5"",""time:"":102924.20000004768,""value"":""(6x5""},{""button"":"")"",""time:"":103891.20000004768,""value"":""(6x5)""},{""button"":""delete"",""time:"":115512.60000014305,""value"":""(6x5""},{""button"":""delete"",""time:"":115847.5,""value"":""(6x""},{""button"":""delete"",""time:"":116119.5,""value"":""(6""},{""button"":""delete"",""time:"":116652.90000009537,""value"":""(""},{""button"":""delete"",""time:"":117111.20000004768,""value"":""""},{""button"":""("",""time:"":141625.60000014305,""value"":""(""},{""button"":""6"",""time:"":142369.10000014305,""value"":""(6""},{""button"":""x"",""time:"":144054.60000014305,""value"":""(6x""},{""button"":""4"",""time:"":144823.29999995232,""value"":""(6x4""},{""button"":"")"",""time:"":145851.60000014305,""value"":""(6x4)""},{""button"":""delete"",""time:"":175619.90000009537,""value"":""(6x4""},{""button"":""delete"",""time:"":176016.60000014305,""value"":""(6x""},{""button"":""delete"",""time:"":177562.60000014305,""value"":""(6""},{""button"":""delete"",""time:"":178107.5,""value"":""(""},{""button"":""delete"",""time:"":178740.29999995232,""value"":""""}]",,"[4,4,5,6]",24.0,180000.0,,,gameTrial,False,,,180
GameOfN,18,886317,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,True,0.0,,"[{""button"":""("",""time:"":26592.700000047684,""value"":""(""},{""button"":""9"",""time:"":27573,""value"":""(9""},{""button"":""x"",""time:"":29791.400000095367,""value"":""(9x""},{""button"":""6"",""time:"":30881.200000047684,""value"":""(9x6""},{""button"":"")"",""time:"":32133.299999952316,""value"":""(9x6)""},{""button"":""delete"",""time:"":48465.90000009537,""value"":""(9x6""},{""button"":""delete"",""time:"":49160.09999990463,""value"":""(9x""},{""button"":""delete"",""time:"":49457.40000009537,""value"":""(9""},{""button"":""delete"",""time:"":49730.5,""value"":""(""},{""button"":""delete"",""time:"":51874.299999952316,""value"":""""},{""button"":""9"",""time:"":54564.59999990463,""value"":""9""},{""button"":""+"",""time:"":55605.59999990463,""value"":""9+""},{""button"":""8"",""time:"":56299.5,""value"":""9+8""},{""button"":""+"",""time:"":57042.799999952316,""value"":""9+8+""},{""button"":""delete"",""time:"":62892.5,""value"":""9+8""},{""button"":""delete"",""time:"":63735.40000009537,""value"":""9+""},{""button"":""delete"",""time:"":64044.5,""value"":""9""},{""button"":""delete"",""time:"":64416.700000047684,""value"":""""},{""button"":""("",""time:"":67948.59999990463,""value"":""(""},{""button"":""9"",""time:"":68779.70000004768,""value"":""(9""},{""button"":""-"",""time:"":69646.90000009537,""value"":""(9-""},{""button"":""8"",""time:"":70315.29999995232,""value"":""(9-8""},{""button"":"")"",""time:"":71493.40000009537,""value"":""(9-8)""},{""button"":""x"",""time:"":73711.40000009537,""value"":""(9-8)x""},{""button"":""delete"",""time:"":79227.09999990463,""value"":""(9-8)""},{""button"":""delete"",""time:"":79661,""value"":""(9-8""},{""button"":""delete"",""time:"":79970.59999990463,""value"":""(9-""},{""button"":""delete"",""time:"":80256,""value"":""(9""},{""button"":""delete"",""time:"":80516,""value"":""(""},{""button"":""delete"",""time:"":80813.29999995232,""value"":""""},{""button"":""9"",""time:"":87245.79999995232,""value"":""9""},{""button"":""delete"",""time:"":88893.59999990463,""value"":""""},{""button"":""("",""time:"":89884.59999990463,""value"":""(""},{""button"":""9"",""time:"":91062.59999990463,""value"":""(9""},{""button"":""-"",""time:"":93131.90000009537,""value"":""(9-""},{""button"":""6"",""time:"":94210.40000009537,""value"":""(9-6""},{""button"":"")"",""time:"":95226.79999995232,""value"":""(9-6)""},{""button"":""x"",""time:"":99675.5,""value"":""(9-6)x""},{""button"":""6"",""time:"":100977.09999990463,""value"":""(9-6)x6""},{""button"":""+"",""time:"":111300.5,""value"":""(9-6)x6+""},{""button"":""8"",""time:"":112069,""value"":""(9-6)x6+8""},{""button"":""submit"",""time:"":112886.90000009537,""value"":""(9-6)x6+8""},{""button"":""delete"",""time:"":117149.29999995232,""value"":""(9-6)x6+""},{""button"":""delete"",""time:"":118884.20000004768,""value"":""(9-6)x6""},{""button"":""delete"",""time:"":125761.59999990463,""value"":""(9-6)x""},{""button"":""("",""time:"":128623.70000004768,""value"":""(9-6)x(""},{""button"":""delete"",""time:"":141226.20000004768,""value"":""(9-6)x""},{""button"":""delete"",""time:"":141994.79999995232,""value"":""(9-6)""},{""button"":""delete"",""time:"":142366.70000004768,""value"":""(9-6""},{""button"":""delete"",""time:"":142813,""value"":""(9-""},{""button"":""delete"",""time:"":143135.59999990463,""value"":""(9""},{""button"":""delete"",""time:"":143420.59999990463,""value"":""(""},{""button"":""delete"",""time:"":146419.09999990463,""value"":""""},{""button"":""("",""time:"":152350.79999995232,""value"":""(""},{""button"":""6"",""time:"":153926.20000004768,""value"":""(6""},{""button"":""-"",""time:"":155103,""value"":""(6-""},{""button"":""6"",""time:"":156057.09999990463,""value"":""(6-6""},{""button"":"")"",""time:"":157432.40000009537,""value"":""(6-6)""},{""button"":""+"",""time:"":158597.79999995232,""value"":""(6-6)+""},{""button"":""delete"",""time:"":162315,""value"":""(6-6)""},{""button"":""delete"",""time:"":162575.5,""value"":""(6-6""},{""button"":""delete"",""time:"":162810.90000009537,""value"":""(6-""},{""button"":""delete"",""time:"":163071.29999995232,""value"":""(6""},{""button"":""delete"",""time:"":163343.90000009537,""value"":""(""},{""button"":""delete"",""time:"":163641.5,""value"":""""}]",,"[6,6,8,9]",24.0,180000.0,,,gameTrial,False,,,180
GameOfN,21,1070457,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,True,0.0,,"[{""button"":""("",""time:"":36603.59999990463,""value"":""(""},{""button"":""3"",""time:"":37831.299999952316,""value"":""(3""},{""button"":""+"",""time:"":39268.59999990463,""value"":""(3+""},{""button"":""2"",""time:"":40087.299999952316,""value"":""(3+2""},{""button"":"")"",""time:"":41549.200000047684,""value"":""(3+2)""},{""button"":""delete"",""time:"":55206.40000009537,""value"":""(3+2""},{""button"":""delete"",""time:"":55553.200000047684,""value"":""(3+""},{""button"":""delete"",""time:"":56036.799999952316,""value"":""(3""},{""button"":""delete"",""time:"":56346.5,""value"":""(""},{""button"":""delete"",""time:"":57015.90000009537,""value"":""""},{""button"":""("",""time:"":58440.5,""value"":""(""},{""button"":""2"",""time:"":59308.200000047684,""value"":""(2""},{""button"":""x"",""time:"":60944.59999990463,""value"":""(2x""},{""button"":""2"",""time:"":61576.299999952316,""value"":""(2x2""},{""button"":"")"",""time:"":62629.200000047684,""value"":""(2x2)""},{""button"":""+"",""time:"":63806.5,""value"":""(2x2)+""},{""button"":""delete"",""time:"":79926.90000009537,""value"":""(2x2)""},{""button"":""delete"",""time:"":80397.20000004768,""value"":""(2x2""},{""button"":""delete"",""time:"":80669.5,""value"":""(2x""},{""button"":""delete"",""time:"":80955.20000004768,""value"":""(2""},{""button"":""delete"",""time:"":81190.59999990463,""value"":""(""},{""button"":""delete"",""time:"":81500.90000009537,""value"":""""},{""button"":""("",""time:"":97901.79999995232,""value"":""(""},{""button"":""11"",""time:"":98585,""value"":""(11""},{""button"":""+"",""time:"":99674.29999995232,""value"":""(11+""},{""button"":""2"",""time:"":101210.59999990463,""value"":""(11+2""},{""button"":"")"",""time:"":102189.70000004768,""value"":""(11+2)""},{""button"":""delete"",""time:"":115561.09999990463,""value"":""(11+2""},{""button"":""delete"",""time:"":116019.79999995232,""value"":""(11+""},{""button"":""3"",""time:"":117333,""value"":""(11+3""},{""button"":"")"",""time:"":118386.40000009537,""value"":""(11+3)""},{""button"":""delete"",""time:"":126082,""value"":""(11+3""},{""button"":""delete"",""time:"":126330.20000004768,""value"":""(11+""},{""button"":""delete"",""time:"":126627.70000004768,""value"":""(11""},{""button"":""delete"",""time:"":126999.90000009537,""value"":""(""},{""button"":""delete"",""time:"":127780.09999990463,""value"":""""}]",,"[2,2,3,11]",24.0,180000.0,,,gameTrial,False,,,180
GameOfN,24,1104747,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,False,1.0,13+6+8-3,"[{""button"":""13"",""time:"":16923.900000095367,""value"":""13""},{""button"":""+"",""time:"":19738.400000095367,""value"":""13+""},{""button"":""6"",""time:"":22873.099999904633,""value"":""13+6""},{""button"":""+"",""time:"":23704.099999904633,""value"":""13+6+""},{""button"":""8"",""time:"":24484.700000047684,""value"":""13+6+8""},{""button"":""-"",""time:"":29021.400000095367,""value"":""13+6+8-""},{""button"":""3"",""time:"":29914.200000047684,""value"":""13+6+8-3""},{""button"":""submit"",""time:"":30843.299999952316,""value"":""13+6+8-3""}]",,"[3,6,8,13]",24.0,180000.0,,,gameTrial,False,,,30
GameOfN,27,1143104,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,False,1.0,(4+2)x(4x1),"[{""button"":""("",""time:"":11189.300000190735,""value"":""(""},{""button"":""4"",""time:"":12131.200000047684,""value"":""(4""},{""button"":""+"",""time:"":12899.100000143051,""value"":""(4+""},{""button"":""2"",""time:"":13952.600000143051,""value"":""(4+2""},{""button"":"")"",""time:"":14857.200000047684,""value"":""(4+2)""},{""button"":""x"",""time:"":16789.700000047684,""value"":""(4+2)x""},{""button"":""("",""time:"":17708,""value"":""(4+2)x(""},{""button"":""4"",""time:"":18351.5,""value"":""(4+2)x(4""},{""button"":""+"",""time:"":19206.800000190735,""value"":""(4+2)x(4+""},{""button"":""1"",""time:"":20012.10000014305,""value"":""(4+2)x(4+1""},{""button"":"")"",""time:"":21004.700000047684,""value"":""(4+2)x(4+1)""},{""button"":""submit"",""time:"":22293.5,""value"":""(4+2)x(4+1)""},{""button"":""delete"",""time:"":29207.800000190735,""value"":""(4+2)x(4+1""},{""button"":""delete"",""time:"":30410.60000014305,""value"":""(4+2)x(4+""},{""button"":""delete"",""time:"":30757.60000014305,""value"":""(4+2)x(4""},{""button"":""x"",""time:"":31847.900000095367,""value"":""(4+2)x(4x""},{""button"":""1"",""time:"":32541.900000095367,""value"":""(4+2)x(4x1""},{""button"":"")"",""time:"":33805.5,""value"":""(4+2)x(4x1)""},{""button"":""submit"",""time:"":35540.800000190735,""value"":""(4+2)x(4x1)""}]",,"[1,2,4,4]",24.0,180000.0,,,gameTrial,False,,,35
GameOfN,30,1326268,7,0,7,08856307-8676-4774-986b-3a7984333884,no-vp,True,0.0,(10-2)+,"[{""button"":""10"",""time:"":51717.200000047684,""value"":""10""},{""button"":""+"",""time:"":52646.60000014305,""value"":""10+""},{""button"":""1"",""time:"":54604.299999952316,""value"":""10+1""},{""button"":""delete"",""time:"":64891.799999952316,""value"":""10+""},{""button"":""delete"",""time:"":65363,""value"":""10""},{""button"":""delete"",""time:"":65684.60000014305,""value"":""""},{""button"":""delete"",""time:"":65994,""value"":""""},{""button"":""("",""time:"":83283.20000004768,""value"":""(""},{""button"":""8"",""time:"":84126.60000014305,""value"":""(8""},{""button"":""-"",""time:"":85166.79999995232,""value"":""(8-""},{""button"":""2"",""time:"":91116.5,""value"":""(8-2""},{""button"":"")"",""time:"":92218.60000014305,""value"":""(8-2)""},{""button"":""delete"",""time:"":96668.29999995232,""value"":""(8-2""},{""button"":""delete"",""time:"":97138.90000009537,""value"":""(8-""},{""button"":""delete"",""time:"":97635.10000014305,""value"":""(8""},{""button"":""delete"",""time:"":98031.40000009537,""value"":""(""},{""button"":""delete"",""time:"":98390.20000004768,""value"":""""},{""button"":""("",""time:"":99841,""value"":""(""},{""button"":""10"",""time:"":100795.5,""value"":""(10""},{""button"":""-"",""time:"":101836.29999995232,""value"":""(10-""},{""button"":""2"",""time:"":102753.29999995232,""value"":""(10-2""},{""button"":"")"",""time:"":104574.20000004768,""value"":""(10-2)""},{""button"":""+"",""time:"":107993.79999995232,""value"":""(10-2)+""},{""button"":""8"",""time:"":108763.10000014305,""value"":""(10-2)+8""},{""button"":""delete"",""time:"":121612.29999995232,""value"":""(10-2)+""},{""button"":""delete"",""time:"":122071.40000009537,""value"":""(10-2)""},{""button"":""delete"",""time:"":122418.20000004768,""value"":""(10-2""},{""button"":""delete"",""time:"":122963.79999995232,""value"":""(10-""},{""button"":""delete"",""time:"":123248.5,""value"":""(10""},{""button"":""delete"",""time:"":123558.60000014305,""value"":""(""},{""button"":""delete"",""time:"":123879.79999995232,""value"":""""},{""button"":""("",""time:"":125973.79999995232,""value"":""(""},{""button"":""10"",""time:"":126731.20000004768,""value"":""(10""},{""button"":""-"",""time:"":127895.29999995232,""value"":""(10-""},{""button"":""1"",""time:"":128763.20000004768,""value"":""(10-1""},{""button"":"")"",""time:"":129816.79999995232,""value"":""(10-1)""},{""button"":""x"",""time:"":139446,""value"":""(10-1)x""},{""button"":""2"",""time:"":141998.29999995232,""value"":""(10-1)x2""},{""button"":""+"",""time:"":145828,""value"":""(10-1)x2+""},{""button"":""8"",""time:"":146670.10000014305,""value"":""(10-1)x2+8""},{""button"":""submit"",""time:"":147685.60000014305,""value"":""(10-1)x2+8""},{""button"":""delete"",""time:"":165667.40000009537,""value"":""(10-1)x2+""},{""button"":""delete"",""time:"":166175.29999995232,""value"":""(10-1)x2""},{""button"":""delete"",""time:"":166832.20000004768,""value"":""(10-1)x""},{""button"":""delete"",""time:"":167315.5,""value"":""(10-1)""},{""button"":""delete"",""time:"":168542.5,""value"":""(10-1""},{""button"":""delete"",""time:"":169385.70000004768,""value"":""(10-""},{""button"":""2"",""time:"":172830.5,""value"":""(10-2""},{""button"":"")"",""time:"":174912.29999995232,""value"":""(10-2)""},{""button"":""+"",""time:"":179027.40000009537,""value"":""(10-2)+""}]",,"[1,2,8,10]",24.0,180000.0,,,gameTrial,False,,,180
